	URL		B&W	COLUMNS	GENRE	SOUS-GENRE	TRAD	ACTES	RECUEIL	GENDER	FONT	DOUBLE	ARK CATALOGUE	DATES	AUTEURS	WD	TITRE	CONTRIBUTEURS	EDITEURS	DESCRIPTIONS	SUJETS	PROVENANCE		DROITS	NOMBRE DE VUES	CODE(S) PROJET(S)	NQA Moyen (%)	SOURCE
https://gallica.bnf.fr/ark:/12148/btv1b86133743/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/btv1b86133743							1					http://catalogue.bnf.fr/ark:/12148/cb30886490r	1736	Marivaux, Pierre de (1688-1763). Auteur du texte		Le legs , comédie en 1 acte de M. M**		Prault fils (Paris)	[Le legs (français)]		Gallica		domaine public ¤ public domain	113	GTextes1	0	Bibliothèque nationale de France, département Réserve des livres rares, RESP-YF-281
https://gallica.bnf.fr/ark:/12148/bpt6k1350356/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k1350356							1					http://catalogue.bnf.fr/ark:/12148/cb30886499v	1820	Marivaux, Pierre de (1688-1763). Auteur du texte		Le legs , comédie en 1 acte, de Marivaux... Nouvelle édition...		J.-N. Barba (Paris)	[Le legs (français)] ¤ Avec mode texte		Gallica		domaine public ¤ public domain	39		0	Bibliothèque nationale de France, département Littérature et art, 8-YTH-10114
https://gallica.bnf.fr/ark:/12148/btv1b8626144g/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/btv1b8626144g												http://catalogue.bnf.fr/ark:/12148/cb30886504m	1739	Marivaux, Pierre de (1688-1763). Auteur du texte		La méprise , comedie de monsieur de Marivaux. Representée pour la premiere fois par les Comédiens italiens ordinaires du Roi le 16 août. 1734		A Paris, chez Prault, pere, quay de Gesvres, au Paradis. M. DCC. XXXIX. Avec approbation & privilege du Roy	[La méprise (français)]		Gallica		domaine public ¤ public domain	73		0	Bibliothèque nationale de France, département Arsenal, GD-14054
https://gallica.bnf.fr/ark:/12148/bd6t541890839/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bd6t541890839												http://catalogue.bnf.fr/ark:/12148/cb30886520v	1759	Marivaux, Pierre de (1688-1763). Auteur du texte		Le Petit-maître corrigé, comédie de M. de Marivaux, représentée pour la première fois par les Comédiens français, le samedi 6 novembre 1734		Duchesne (Paris)	[Le petit-maître corrigé (français)] ¤ Avec mode texte		Gallica		domaine public ¤ public domain	128		83,63	Bibliothèque nationale de France, département Littérature et art, 8-YTH-13895
https://gallica.bnf.fr/ark:/12148/bpt6k1051620p/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k1051620p												http://catalogue.bnf.fr/ark:/12148/cb30886525k	1728	Marivaux, Pierre de (1688-1763). Auteur du texte		Le prince travesti, ou l'Illustre avanturier. Tome 1 / , comédie, représentée pour la première fois par les comédiens italiens ordinaires du Roi le 5 février 1724		A Paris, chez Briasson, rue S. Jacques, à la Science. [1728]	[Le prince travesti (français)]		Gallica		domaine public ¤ public domain	151		0	Bibliothèque nationale de France, département Réserve des livres rares, RES P-YF-279 (1,4)
https://gallica.bnf.fr/ark:/12148/bpt6k329008k/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k329008k												http://catalogue.bnf.fr/ark:/12148/cb30886531h	1733	Marivaux, Pierre de (1688-1763). Auteur du texte		La réunion des amours , comédie héroïque de Mr de Marivaux. Représentée par les Comédiens françois au mois de [ ] 1732		A Paris chez Prault père, quay de Gêvres, au Paradis. M. DCC XXXIII. Avec approbation & privilege du Roy.	[La réunion des amours (français)]		Gallica		domaine public ¤ public domain	60		0	Bibliothèque nationale de France, département Arsenal, GD-676 (1)
https://gallica.bnf.fr/ark:/12148/bpt6k329929f/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k329929f												http://catalogue.bnf.fr/ark:/12148/cb30886532v	1733	Marivaux, Pierre de (1688-1763). Auteur du texte		La réunion des amours , comédie héroïque de Mr de Marivaux. Représentée par les Comédiens françois...		Prault père et Prault fils (Paris)	[La réunion des amours (français)]		Gallica		domaine public ¤ public domain	70		0	Bibliothèque nationale de France, département Arts du spectacle, 8-RF-11784
https://gallica.bnf.fr/ark:/12148/bpt6k328013r/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k328013r												http://catalogue.bnf.fr/ark:/12148/cb308865336	1739	Marivaux, Pierre de (1688-1763). Auteur du texte		La réunion des amours , comédie héroïque, par Mr de Marivaux		A. Van Dole (La Haye)	[La réunion des amours (français)]		Gallica		domaine public ¤ public domain	42		0	Bibliothèque nationale de France, département Littérature et art, 8-YTH-15422
https://gallica.bnf.fr/ark:/12148/bpt6k3280581/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k3280581							1					http://catalogue.bnf.fr/ark:/12148/cb30886534j	1758	Marivaux, Pierre de (1688-1763). Auteur du texte		La réunion des amours , comédie héroïque en un acte et en prose, par Mr de Marivaux,.... Nouvelle édition		Duchesne (Paris)	[La réunion des amours (français)] ¤ Avec mode texte		Gallica		domaine public ¤ public domain	48		82,9	Bibliothèque nationale de France, département Littérature et art, YF-10071
https://gallica.bnf.fr/ark:/12148/bpt6k108814q/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k108814q												http://catalogue.bnf.fr/ark:/12148/cb308865367	1732	Marivaux, Pierre de (1688-1763). Auteur du texte		Les serments indiscrets : comédie / de Mr de Marivaux		chez Pierre Prault (A Paris)	[Les serments indiscrets (français)]		Gallica		domaine public ¤ public domain	118		0	Bibliothèque nationale de France, département Littérature et art, Yf-7644
