	URL		B&W	COLUMNS	GENRE	SOUS-GENRE	TRAD	ACTES	RECUEIL	GENDER	FONT	DOUBLE	ARK CATALOGUE	DATES	AUTEURS	WD	TITRE	CONTRIBUTEURS	EDITEURS	DESCRIPTIONS	SUJETS	PROVENANCE		DROITS	NOMBRE DE VUES	CODE(S) PROJET(S)	NQA Moyen (%)	SOURCE
https://gallica.bnf.fr/ark:/12148/bpt6k5713858v/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k5713858v						Yes		Yes				http://catalogue.bnf.fr/ark:/12148/cb303732191	1853	Schiller, Friedrich von (1759-1805). Auteur du texte ¤ Mélesville (1787-1865). Auteur du texte ¤ Guillard, Léon (1816-1878). Auteur du texte		Intrigue et amour : drame en cinq actes et neuf tableaux. [suivi de ] Le marchand de jouets d'enfant : comédie-vaudeville en un acte. Livr. 41 / traduit de Schiller , par M. Alexandre Dumas,...par MM. Mélesville et Léon Guillard,...	Dumas, Alexandre (1802-1870). Traducteur	Michel Lévy (Paris)	[Kabale und Liebe (français)] ¤ Collection : Théâtre contemporain illustré , 41e et 42e livraisons ¤ Collection : Théâtre contemporain illustré , 41e et 42e livraisons ¤ Comprend : Le marchand de jouets d'enfant ¤ Avec mode texte ¤ Opéras-comiques		Gallica		domaine public ¤ public domain	30		91,61	Bibliothèque nationale de France, département Littérature et art, YF-10 (16)
https://gallica.bnf.fr/ark:/12148/bpt6k61812049/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k61812049						Yes		Yes				http://catalogue.bnf.fr/ark:/12148/cb303732191	1853	Schiller, Friedrich von (1759-1805). Auteur du texte ¤ Mélesville (1787-1865). Auteur du texte ¤ Guillard, Léon (1816-1878). Auteur du texte		Intrigue et amour : drame en cinq actes et neuf tableaux. [suivi de ] Le marchand de jouets d'enfant : comédie-vaudeville en un acte. Livr. 42 / traduit de Schiller , par M. Alexandre Dumas,...par MM. Mélesville et Léon Guillard,...	Dumas, Alexandre (1802-1870). Traducteur	Michel Lévy (Paris)	[Kabale und Liebe (français)] ¤ Collection : Théâtre contemporain illustré , 41e et 42e livraisons ¤ Collection : Théâtre contemporain illustré , 41e et 42e livraisons ¤ Comprend : Le marchand de jouets d'enfant ¤ Avec mode texte ¤ Opéras-comiques		Gallica		domaine public ¤ public domain	13		84,61	Bibliothèque nationale de France, département Fonds du service reproduction, YF-188 (6)
https://gallica.bnf.fr/ark:/12148/bpt6k6181202g/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k6181202g						Yes		Yes				http://catalogue.bnf.fr/ark:/12148/cb303732191	1853	Schiller, Friedrich von (1759-1805). Auteur du texte ¤ Mélesville (1787-1865). Auteur du texte ¤ Guillard, Léon (1816-1878). Auteur du texte		Intrigue et amour : drame en cinq actes et neuf tableaux. [suivi de ] Le marchand de jouets d'enfant : comédie-vaudeville en un acte. Livr. 42 / traduit de Schiller , par M. Alexandre Dumas,...par MM. Mélesville et Léon Guillard,...	Dumas, Alexandre (1802-1870). Traducteur	Michel Lévy (Paris)	[Kabale und Liebe (français)] ¤ Collection : Théâtre contemporain illustré , 41e et 42e livraisons ¤ Collection : Théâtre contemporain illustré , 41e et 42e livraisons ¤ Comprend : Le marchand de jouets d'enfant ¤ Avec mode texte ¤ Opéras-comiques		Gallica		domaine public ¤ public domain	13		92,4	Bibliothèque nationale de France, département Fonds du service reproduction, YF-188 (4)
https://gallica.bnf.fr/ark:/12148/bpt6k98099227/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k98099227							5					http://catalogue.bnf.fr/ark:/12148/cb303732238	1874	Dumas, Alexandre (1802-1870). Auteur du texte		La jeunesse de Louis XIV : comédie en cinq actes, en prose (Nouvelle édition...) / par Alexandre Dumas		Michel Lévy frères (Paris) ¤ Librairie nouvelle (Paris)	Avec mode texte		Gallica		domaine public ¤ public domain	168		98,5	Bibliothèque nationale de France, département Littérature et art, 8-YTH-9627
https://gallica.bnf.fr/ark:/12148/bd6t5753082z/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bd6t5753082z							5					http://catalogue.bnf.fr/ark:/12148/cb30373249z	1845	Dumas, Alexandre (1802-1870). Auteur du texte		Les Mousquetaires, drame en 5 actes et 12 tableaux, précédé de l'Auberge de Béthune, prologue, par MM. Alexandre Dumas et Auguste Maquet... [Paris, Ambigu comique, 27 octobre 1845.]		Marchant (Paris)	Avec mode texte		Gallica		domaine public ¤ public domain	62		85,1	Bibliothèque nationale de France, département Arts du spectacle, 8-RF-25327
https://gallica.bnf.fr/ark:/12148/bd6t541917200/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bd6t541917200							5					http://catalogue.bnf.fr/ark:/12148/cb30373272g	1835	Dumas, Alexandre (1802-1870). Auteur du texte		Térésa, drame en 5 actes et en prose, par Alex. Dumas... [Paris, Opéra comique, 6 février 1832.] Publication de Charles Lemesle		Marchant (Paris)			Gallica		domaine public ¤ public domain	36		0	Bibliothèque nationale de France, département Littérature et art, YF-439 (8)
https://gallica.bnf.fr/ark:/12148/bpt6k58077594/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k58077594							5					http://catalogue.bnf.fr/ark:/12148/cb303735233	1864	Dumas, Alexandre (1824-1895). Auteur du texte		L'ami des femmes : comédie en cinq actes, en prose / par Alexandre Dumas fils		A. Cadot (Paris)	Avec mode texte		Gallica		domaine public ¤ public domain	164		96,9	Bibliothèque nationale de France, département Littérature et art, 8-YTH-643
https://gallica.bnf.fr/ark:/12148/bpt6k56261021/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k56261021							3					http://catalogue.bnf.fr/ark:/12148/cb30373554c	1881	Dumas, Alexandre (1824-1895). Auteur du texte		La princesse de Bagdad : pièce en 3 actes / par Alexandre Dumas fils,...		C. Lévy (Paris)	Avec mode texte ¤ Opéras-comiques		Gallica		domaine public ¤ public domain	112		91,31	Bibliothèque nationale de France, département Littérature et art, 8-YTH-20345
https://gallica.bnf.fr/ark:/12148/bpt6k5568453v/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k5568453v												http://catalogue.bnf.fr/ark:/12148/cb30374088j	1861	Dumas, Pierre. Auteur du texte		Eustache de St-Pierre, ou le Dévouement des six bourgeois de Calais, scène historique, par Pierre Dumas		(Calais)	Avec mode texte ¤ Opéras-comiques		Gallica		domaine public ¤ public domain	19	NordPdeC1	83,48	Bibliothèque nationale de France, département Littérature et art, YF-12587
https://gallica.bnf.fr/ark:/12148/bpt6k5780876s/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k5780876s							1					http://catalogue.bnf.fr/ark:/12148/cb30374641j	1833	Dumersan, Théophile Marion (1780-1849). Auteur du texte ¤ Brazier, Nicolas (1783-1838). Auteur du texte		Les actualités : vaudeville épisodique en un acte / par MM. Dumersan et Brazier...		J. N. Barba (Paris)	Avec mode texte ¤ Opéras-comiques		Gallica		domaine public ¤ public domain	48		90,88	Bibliothèque nationale de France, département Littérature et art, 8-YTH-155
