	URL		B&W	COLUMNS	GENRE	SOUS-GENRE	TRAD	ACTES	RECUEIL	GENDER	FONT	DOUBLE	ARK CATALOGUE	DATES	AUTEURS	WD	TITRE	CONTRIBUTEURS	EDITEURS	DESCRIPTIONS	SUJETS	PROVENANCE		DROITS	NOMBRE DE VUES	CODE(S) PROJET(S)	NQA Moyen (%)	SOURCE
https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001101816226/f10.thumbnail	https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001101816226						Yes		Yes	M				1823	Gomes, João Baptista, 1775?-1803, Auteur ¤ Pimenta de Aguiar, Manuel Caetano, 1765-1832, Co-auteur ¤ José da Silva, Antònio, 1705-1739, Co-auteur		Chefs-d&#039,oeuvre du Théatre portugais : Gomès, Pimenta de Aguiar, Jozé		chez Ladvocat (A Paris)	Adresse d'imprimeur au verso du faux-titre "Imprimerie de Fain, Place de l'Odeon" ¤ SJ BE 109/38 - Reliure demi-veau, dos lisse orné. Pièces de titre maroquin rouge et vert "Théatres Etrangers. Gomès" ¤ Notice sur le Théatre portugais, par Ferdinand Denis - La nouvelle Inez de Castro, tragédie en cinq actes par Jean-Baptiste Gomès - La conquête du Pérou, tragédie en cinq actes par Manuel-Gaetano Pimenta de Aguiar - Le caractère des Lusitaniens, tragédie en cinq actes, par Manuel-Gaetano Pimenta de Aguiar - La vie du grand Don Quichotte de la Manche et du gros Sancho Pança par Antonio Jozé	Théâtre -- Portugal	numelyo		Licence Ouverte-Open Licence			0	Bibliothèque municipale de Lyon, SJ BE 109/38
https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001101816853/f10.thumbnail	https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001101816853						Yes		Yes	M				1823	Léopold, Charles-Gustave, Auteur ¤ Gyllenborg, Gustav Fredrik, 1731-1808, Co-auteur ¤ Lindegren, Charles, Co-auteur		Chefs-d&#039,oeuvre du Théatre suédois : Léopold, Gyllenborg, Lindegren	Collège Saint-Joseph de la Compagnie de Jésus, (Poitiers, Vienne), ancien possesseur ¤ Maison Saint-Louis, (Jersey, GB), ancien possesseur	chez Ladvocat (A Paris)	Adresse d'imprimeur au verso du faux-titre "Imprimerie de Fain, Place de l'Odeon" ¤ SJ BE 109/44 - Reliure demi-veau, dos lisse orné. Pièces de titre maroquin rouge et vert "Théatres Etrangers. Léopold" ¤ SJ BE 109/44 - Etiquette sur le contreplat supérieur "Bib. Coll. Pictav. S. J.". Cachet à l'encre bleue sur le faux-titre "Domus S. Aloys Jerseiens. S. J." ¤ Odin, ou l'émigration des Scythes : tragédie en cinq actes de Charles-Gustave Léopold - Virginie, tragédie en cinq actes de Charles-Gustave Léopold - Sune Jarl, ou la mort de Sverker, tragédie du Comte de Gyllenborg - L'aventurier : comédie en deux actes de Charles Lindegren - L'amant aveugle de Charles Lindegren	Théâtre -- Suède	numelyo		Licence Ouverte-Open Licence			0	Bibliothèque municipale de Lyon, SJ BE 109/44
https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001101816861/f10.thumbnail	https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001101816861						Yes		Yes	M				1823	Léopold, Charles-Gustave, Auteur ¤ Gyllenborg, Gustav Fredrik, 1731-1808, Co-auteur ¤ Lindegren, Charles, Co-auteur		Chefs-d&#039,oeuvre du Théatre suédois : Léopold, Gyllenborg, Lindegren		chez Ladvocat (A Paris)	Adresse d'imprimeur au verso du faux-titre "Imprimerie de Fain, Place de l'Odeon" ¤ 308636 - Reliure demi-cuir vert, dos lisse à décor romantique ¤ Odin, ou l'émigration des Scythes : tragédie en cinq actes de Charles-Gustave Léopold - Virginie, tragédie en cinq actes de Charles-Gustave Léopold - Sune Jarl, ou la mort de Sverker, tragédie du Comte de Gyllenborg - L'aventurier : comédie en deux actes de Charles Lindegren - L'amant aveugle de Charles Lindegren	Théâtre -- Suède	numelyo		Licence Ouverte-Open Licence			0	Bibliothèque municipale de Lyon, 308636
https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001103213521/f10.thumbnail	https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001103213521							1						1823	Merle, Jean-Toussaint, 1782-1852, Auteur ¤ Carmouche, Pierre-Frédéric-Adolphe, 1797-1868, Co-auteur ¤ Courcy, Frédéric de, 1796-1862, Co-auteur		Le comédien de Poitiers : vaudeville à tiroir en un acte		Quoy (Paris) ¤ et Barba (Paris)	307465 - Fait partie d'un recueil (307460-307473)		numelyo		Licence Ouverte-Open Licence			0	Bibliothèque municipale de Lyon, 307465
https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001101816432/f10.thumbnail	https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001101816432						Yes		Yes	M				1823	Ozerof, Ladislao, 1769-1816, Auteur ¤ Fonvizine, Denis Ivanovitch, 1745-1792, Co-auteur ¤ Krilof, 1768-18.., Co-auteur ¤ Schavofskoy, prince, 17..-18.., Co-auteur		Chefs-d&#039,oeuvre du Théatre russe : Ozerof, Fon-Vizine, Krilof, Schakofskoi		chez Ladvocat (A Paris)	Adresse d'imprimeur au verso du faux-titre "Imprimerie de Fain, Place de l'Odeon" ¤ 308635 - Reliure demi-cuir vet, dos lisse à décor romantique. Pièces de titre "Théatre Russe. 24" ¤ Notice sur Ozerof par Alexis de St-Priest - Fingal par Ozerof - Dimitri Donskoi par Ozerof - Le Dadais, ou l'enfant gaté, comédie de Fon-Vizine - La magasin de modes par Krilof - Le cosaque poète, vaudeville anecdotique, par le prince Schakofskoi	Théâtre -- Russie	numelyo		Licence Ouverte-Open Licence			0	Bibliothèque municipale de Lyon, 308635
https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001101816424/f10.thumbnail	https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001101816424						Yes		Yes	M				1823	Ozerof, Ladislao, 1769-1816, Auteur ¤ Fonvizine, Denis Ivanovitch, 1745-1792, Co-auteur ¤ Krilof, 1768-18.., Co-auteur ¤ Schavofskoy, prince, 17..-18.., Co-auteur		Chefs-d&#039,oeuvre du Théatre russe : Ozerof, Fon-Vizine, Krilof, Schakofskoi		chez Ladvocat (A Paris)	Adresse d'imprimeur au verso du faux-titre "Imprimerie de Fain, Place de l'Odeon" ¤ SJ BE 109/45 - Reliure demi-veau, dos lisse orné. Pièces de titre maroquin rouge et vert "Théatres Etrangers. Ozerof" ¤ Notice sur Ozerof par Alexis de St-Priest - Fingal par Ozerof - Dimitri Donskoi par Ozerof - Le Dadais, ou l'enfant gaté, comédie de Fon-Vizine - La magasin de modes par Krilof - Le cosaque poète, vaudeville anecdotique, par le prince Schakofskoi	Théâtre -- Russie	numelyo		Licence Ouverte-Open Licence			0	Bibliothèque municipale de Lyon, SJ BE 109/45
https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001100337497/f10.thumbnail	https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001100337497							1						1823	Scribe, Eugène, 1791-1861, Auteur ¤ Imbert, Jacques-Gilbert, Co-auteur ¤ Varner, Antoine-François, 1789-1854, Co-auteur		L&#039,interieur d&#039,un bureau ou la chanson... : comédie-vaudeville en un acte		Duvernois (Paris)			numelyo		Licence Ouverte-Open Licence			0	Bibliothèque municipale de Lyon, 430837
https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001101816739/f10.thumbnail	https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001101816739						Yes		Yes	M				1823	Torres Naharro, Bartolomé de, 1476?-1531?, Auteur ¤ Cervantes Saavedra, Miguel de, 1547-1616, Co-auteur ¤ Castro, Guillén de, 1569-1631, Co-auteur		Chefs-d&#039,oeuvre du Théatre espagnol : Torrès Naharro, Cervantes Saavedra, Guillem de Castro		chez Ladvocat (A Paris)	Adresse d'imprimeur au verso du faux-titre "Imprimerie de Fain, Place de l'Odeon" ¤ Trad. A. la Beaumelle, J. d' Esménard ¤ SJ BE 109/37 - Reliure demi-veau, dos lisse orné. Pièces de titre maroquin rouge et vert "Théatres Etrangers. Torres Naharro &." ¤ Ymenée, comédie, par Bartolome Torres Naharro - Numance, tragédie, par Miguel de Cervantes Saavedra - La jeunesse du Cid, par G. de Castro	Théâtre -- Espagne	numelyo		Licence Ouverte-Open Licence			0	Bibliothèque municipale de Lyon, SJ BE 109/37
https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001100230510/f10.thumbnail	https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001100230510							5						1824	Bonjour, Casimir, 1795-1856, Auteur		Le Mari a bonnes fortunes, ou La Leçon : Comédie en cinq actes et en vers		Ponthieu, (Paris) ¤ Mme Vve Dabo, (Paris) ¤ Dabo jeune, (Paris)	Adresse d'imprimeur au verso du faux-titre "Imprimerie de J. Tastu, rue de Vaugirard, N°36"	Théâtre -- 19e siècle	numelyo		Licence Ouverte-Open Licence			0	Bibliothèque municipale de Lyon, 382634
https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001100337513/f10.thumbnail	https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001100337513							1						1824	Brazier, Nicolas, 1783-1838, Auteur ¤ Carmouche, Pierre-Frédéric-Adolphe, 1797-1868, Co-auteur ¤ Jouslin de La Salle, Armand-François, 1794-1863, Co-auteur		L&#039,accordée de village : comédie-vaudeville en un acte		Pollet (Paris)	430839 - Palais Des Arts		numelyo		Licence Ouverte-Open Licence			0	Bibliothèque municipale de Lyon, 430839
https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001103218124/f10.thumbnail	https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001103218124							1						1824	Brazier, Nicolas, 1783-1838, Auteur ¤ Carmouche, Pierre-Frédéric-Adolphe, 1797-1868, Co-auteur ¤ Jouslin de La Salle, Armand-François, 1794-1863, Co-auteur		L&#039,accordée de village : comédie-vaudeville en un acte		Pollet (Paris)	307470 - Fait partie d'un recueil (307460-307473)		numelyo		Licence Ouverte-Open Licence			0	Bibliothèque municipale de Lyon, 307470
