	URL		B&W	COLUMNS	GENRE	SOUS-GENRE	TRAD	ACTES	RECUEIL	GENDER	FONT	DOUBLE	ARK CATALOGUE	DATES	AUTEURS	WD	TITRE	CONTRIBUTEURS	EDITEURS	DESCRIPTIONS	SUJETS	PROVENANCE		DROITS	NOMBRE DE VUES	CODE(S) PROJET(S)	NQA Moyen (%)	SOURCE
https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001101119969/f10.thumbnail	https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001101119969							2						an XI-1803	Jars, Antoine-Gabriel, 1774-1857, Auteur		Les confidences : comédie mêlée de chants, en deux actes et en prose		Madame Masson (Paris) ¤ Imprimerie de Chaignieau aîné (Paris)	313165 - Recueil factice (313163-313172) sur le Théâtre lyonnais		numelyo		Licence Ouverte-Open Licence			0	Bibliothèque municipale de Lyon, 313165
https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001100196133/f10.thumbnail	https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001100196133							1						An XII - 1804	Boutet de Monvel, Jacques-Marie, 1745-1812, Auteur		Ambroise Ou voilà ma journée : comédie en un acte, et en prose, mêlée d'ariettes		Chez Barba (Paris)			numelyo		Licence Ouverte-Open Licence			0	Bibliothèque municipale de Lyon, 359440
https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001100194229/f10.thumbnail	https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001100194229							1						An XIII-1804	Étienne, Charles-Guillaume, 1777-1845, Auteur		La jeune femme colère, comédie en un acte et en prose		Mme Masson (Paris)	430819 - Dans une pochette (430813-430823) ¤ 430819 - Palais des Arts		numelyo		Licence Ouverte-Open Licence			0	Bibliothèque municipale de Lyon, 430819
https://humazur.univ-cotedazur.fr/s/Humazur/item/1211/f10.thumbnail	https://humazur.univ-cotedazur.fr/s/Humazur/item/1211													août 1877	Deschanel, Paul (1856-1922)		Edgar Quinet : lettres à sa mère ¤ Lettres à sa mère		Calmann-Lévy	Extrait des Figures littéraires, 1889, comme indiqué par Jean Boudout en couverture du document. ¤ Texte daté par l'auteur d'août 1877 ¤ Compte-rendu critique de l'édition des lettres d'Edgar Quinet à sa mère, 2 volumes, Germer-Baillière ¤ Correspondance d'Edgar Quinet : lettres à sa mère / Edgar Quinet. - Germer-Baillière, [1876]		Hum@zur, bibliothèque numérique de l'Université Côte d'Azur		Domaine public	19		0	Université Côte d'Azur. BU Lettres Arts Sciences Humaines. Collection Edgar Quinet
https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001100029466/f10.thumbnail	https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001100029466							3						ca 1826	Castil-Blaze, 1784-1857, Auteur		La Forêt de Sénart, ou la Partie de chasse de Henri IV : opéra-comique en 3 actes, d'après Collé, paroles ajustées sur la musique de Mozart, Beethoven, Ch. M Weber, Rossini, Meyerber, etc.		chez Castil-Blaze (Paris)	Représenté pour la première fois à Paris sur le théâtre de l'Odéon le 14 janvier 1826 ¤ Demi-reliure en cuir et papier. Timbre humide "A.C. Colleville"		numelyo		Licence Ouverte-Open Licence			0	Bibliothèque municipale de Lyon, Rés FM 129897
https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001102181000/f10.thumbnail	https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001102181000													L'An 1655	Montluc, Adrien de, 1589-1646, Auteur		La comédie de proverbes, pieçe comique		chez Adrian Vlacq (A La Haye)	Willems 1680 note ¤ Rahir 2091	Proverbes -- 17e siècle ¤ Théâtre -- 17e siècle	numelyo		Licence Ouverte-Open Licence			0	Bibliothèque municipale de Lyon, Rés 804471
https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001102180960/f10.thumbnail	https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001102180960													L'an 1661	Quinault, Philippe, 1635-1688, Auteur		La Comédie sans comédie par le Sieur Quinault		s. n. (S l Hollande)	Contient : [Ep. déd. de l'auteur au marquis de La Mailleraye] ¤ Schelte, 1697 ¤ Rahir 2174 et 2980 ¤ Rés 804469 : La planche manque	Théâtre -- 17e siècle ¤ Contrefaçon -- 17e siècle	numelyo		Licence Ouverte-Open Licence			0	Bibliothèque municipale de Lyon, Rés 804469
https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001102192940/f10.thumbnail	https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001102192940													M. DC. LXV. [1665]	Paleotti, Gabriele, 1522-1597, Auteur		La Distinction des places en l&#039,Eglise pour les clercs et pour les laïques, auec vn Traité des armoiries comme elles ne doivent être tolérées dans les églises et sur les ornements, tiré de l&#039,eminentissime cardinal Gabriel Paleote,...		chez Iean Gregoire (A Lyon)	Contient : réclames à toutes pages, date en romains droits 2 esp. 3 points, marque typ. gravée, permission du 4 octobre 1664 pour J. Gregoire ¤ Le Traité des armoiries est publié avec la date 1664 et catalogué à part ¤ 813615 - Reliure basane mouchetée 17e siècle, prix ms : 20 s.		numelyo		Licence Ouverte-Open Licence			0	Bibliothèque municipale de Lyon, 813615
https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001101115173/f10.thumbnail	https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001101115173													s. d. [1714]			Les Jeux Olympiques ballet orné de machines et de changemens de Théatre. dansé a la tragedie d&#039,Ulysse, au college de la Sainte-Trinité. Le XXVII. May M. DCCXIV.		chez Marcellin Sibert, Maître Imprimeur (A Lyon)	Contient : [Ep. déd. au Consulat. Maître de ballet La Bruiere] , permission du 15 mai 1714 ¤ Sommervogel V 228, 87 ¤ Coste 11756 ¤ Conlon 17134 ¤ Fonds Coste	Collège de la Sainte Trinité de la Compagnie de Jésus, (Lyon) 18e siècle ¤ Jeux olympiques -- 18e siècle ¤ Ballet -- 18e siècle ¤ Ballet ¤ Rara	numelyo		Licence Ouverte-Open Licence			0	Bibliothèque municipale de Lyon, 114421
https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001101115181/f10.thumbnail	https://numelyo.bm-lyon.fr/f_view/BML:BML_00GOO0100137001101115181													s. d. [1715]			La Chimère ballet dansé à la tragedie de Polydore, par les pensionnaires du college de la Sainte Trinité. Le XVI. Juin M. DCCXV.		chez Marcellin Sibert, Maître Imprimeur (A Lyon)	Contient : [Ep. déd. au Consulat de Lyon. Maître de ballet La Bruiere] , permission du 3 juin 1715 ¤ Sommervogel V 228, 89 ¤ Coste 11758 ¤ Conlon 17699 ¤ Fonds Coste	Collège de la Sainte Trinité de la Compagnie de Jésus, (Lyon) 18e siècle ¤ Imagination -- 18e siècle ¤ Occultisme -- 18e siècle ¤ Ballet -- 18e siècle ¤ Ballet ¤ Rara	numelyo		Licence Ouverte-Open Licence			0	Bibliothèque municipale de Lyon, 114422
