	URL		B&W	COLUMNS	GENRE	SOUS-GENRE	TRAD	ACTES	RECUEIL	GENDER	FONT	DOUBLE	ARK CATALOGUE	DATES	AUTEURS	WD	TITRE	CONTRIBUTEURS	EDITEURS	DESCRIPTIONS	SUJETS	PROVENANCE		DROITS	NOMBRE DE VUES	CODE(S) PROJET(S)	NQA Moyen (%)	SOURCE
https://gallica.bnf.fr/ark:/12148/bpt6k56608478/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k56608478												http://catalogue.bnf.fr/ark:/12148/cb333792981	1767			Examen des Scythes, tragédie de M. de Voltaire		chez P. Prault (A Genève, et se trouve à Paris)	Avec mode texte		Gallica		domaine public ¤ public domain	38		69,64	Bibliothèque nationale de France, département Littérature et art, YF-9258
https://gallica.bnf.fr/ark:/12148/bpt6k5660406z/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k5660406z												http://catalogue.bnf.fr/ark:/12148/cb333864115	1831			Extrait de la tragédie de Sampiero , Couplets chantés à Ajaccio, à l'ouverture du théâtre Saint-Gabriel		Marc Marchi (Ajaccio)	Avec mode texte		Gallica		domaine public ¤ public domain	6	RCorse1	85,22	Bibliothèque nationale de France, département Littérature et art, YF-9259
https://gallica.bnf.fr/ark:/12148/bpt6k56605885/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k56605885												http://catalogue.bnf.fr/ark:/12148/cb333866211	1791			Extrait des registres des deliberations de la Comédie française		imp. de Prault (Paris)	Avec mode texte		Gallica		domaine public ¤ public domain	36		90,64	Bibliothèque nationale de France, département Littérature et art, YF-9260
https://gallica.bnf.fr/ark:/12148/bpt6k3043181d/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k3043181d												http://catalogue.bnf.fr/ark:/12148/cb33388601w	1720	Bouy (notaire). Auteur du texte ¤ Fétiq, Charles. Auteur du texte		La famille ridicule, comédie messine . Revûë, corrigée et augmentée, achevée d'imprimer pour la première fois en 1720		(Berlin)	Avec mode texte		Gallica		domaine public ¤ public domain	86		61,04	Bibliothèque nationale de France, département Littérature et art, YF-9809
https://gallica.bnf.fr/ark:/12148/bpt6k5426077x/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k5426077x												http://catalogue.bnf.fr/ark:/12148/cb33388903d	1642			La farce du cardinal aux enfers, suivant la commédie imprimée à Envers			Avec mode texte		Gallica		domaine public ¤ public domain	6		64,79	Bibliothèque nationale de France, département Littérature et art, YE-4908
https://gallica.bnf.fr/ark:/12148/bpt6k61388898/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k61388898												http://catalogue.bnf.fr/ark:/12148/cb33388906f	1890			La Farce du pâté et de la tarte, comédie du XVe siècle, arrangée en vers modernes par Gassies Des Brulies. Avec neuf compositions en taille-douce, hors texte, par J. Geoffroy		C. Delagrave (Paris)	Avec mode texte		Gallica		domaine public ¤ public domain	98		96,26	Bibliothèque nationale de France, département Littérature et art, 4-YF-54
https://gallica.bnf.fr/ark:/12148/bpt6k6339350g/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k6339350g												http://catalogue.bnf.fr/ark:/12148/cb333905596	1787	M. l'A. D. L. G.. Auteur du texte		La femme vertueuse, ou Le débauché converti par l'amour. Partie 1 / , lettres publiées pour l'instruction de quelques sociétés, dans le genre des Liaisons dangeureuses. Par M. L'A. D. L. G. Premiere [-seconde] partie		A Amsterdam , et se trouve à Paris, chez Lefevre, libraire, rue de l'ancienne Comédie françoise. 1787	Avec mode texte		Gallica		domaine public ¤ public domain	193		98,5	Bibliothèque nationale de France, département Fonds du service reproduction, Y2-34160
https://gallica.bnf.fr/ark:/12148/bpt6k63386981/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k63386981												http://catalogue.bnf.fr/ark:/12148/cb333905596	1787	M. l'A. D. L. G.. Auteur du texte		La femme vertueuse, ou Le débauché converti par l'amour. Partie 2 / , lettres publiées pour l'instruction de quelques sociétés, dans le genre des Liaisons dangeureuses. Par M. L'A. D. L. G. Premiere [-seconde] partie		A Amsterdam , et se trouve à Paris, chez Lefevre, libraire, rue de l'ancienne Comédie françoise. 1787	Avec mode texte		Gallica		domaine public ¤ public domain	293		98,5	Bibliothèque nationale de France, département Fonds du service reproduction, Y2-34160
https://gallica.bnf.fr/ark:/12148/bpt6k61195022/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k61195022												http://catalogue.bnf.fr/ark:/12148/cb333908936	1826			La Férule enlevée, poème héroï-comique en quatre chants		H. Berquet, Boiste fils aîné (Paris)	Contient une table des matières ¤ Avec mode texte		Gallica		domaine public ¤ public domain	134		93,09	Bibliothèque nationale de France, département Littérature et art, YE-22201
https://gallica.bnf.fr/ark:/12148/bpt6k1523837n/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k1523837n												http://catalogue.bnf.fr/ark:/12148/cb333913514	1706			Feste des dieux, ou l'Origine des ballets, pour servir d'intermede à la tragedie d'Adonias, qui sera representée au College de Louis le Grand, mercredy 11. jour d'aoust 1706. à une heure précise aprés midy	Le Camus, André (1663-1740). Auteur présumé du texte ¤ Le Jay, Gabriel-François (1657-1734). Auteur présumé du texte ¤ Pécour, Guillaume-Louis (1653-1729). Chorégraphe	A Paris, de l'imprimerie de L. Sevestre, ruë des Amandiers, au Mont Saint Hilaire	[Programme. 1706-08-11. Paris, Collège de Louis le Grand de la Compagnie de Jésus] ¤ [Programme. Théâtre de collège. Paris, Collège de Louis le Grand de la Compagnie de Jésus. 1706-08-11] ¤ [Programme. Ballet. Paris, Collège de Louis le Grand de la Compagnie de Jésus. 1706-08-11]		Gallica		domaine public ¤ public domain	8		0	Bibliothèque nationale de France, département Réserve des livres rares, RES-YF-2691
