	URL		B&W	COLUMNS	GENRE	SOUS-GENRE	TRAD	ACTES	RECUEIL	GENDER	FONT	DOUBLE	ARK CATALOGUE	DATES	AUTEURS	WD	TITRE	CONTRIBUTEURS	EDITEURS	DESCRIPTIONS	SUJETS	PROVENANCE		DROITS	NOMBRE DE VUES	CODE(S) PROJET(S)	NQA Moyen (%)	SOURCE
https://gallica.bnf.fr/ark:/12148/bd6t5753501c/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bd6t5753501c							3					http://catalogue.bnf.fr/ark:/12148/cb31419238t	1860	Sue, Eugène (1804-1857). Auteur du texte ¤ Anicet-Bourgeois, Auguste (1806-1871). Auteur du texte ¤ Masson, Michel (1800-1883). Auteur du texte		Atar-Gull, mélodrame en 3 actes et 6 tableaux, imité du roman de M. Eugène Süe, par MM. Anicet Bourgeois et Masson... [Paris, Ambigu-comique, 26 avril 1832.]		Barbré (Paris)	Avec mode texte ¤ Opéras buffa		Gallica		domaine public ¤ public domain	18		85,84	Bibliothèque nationale de France, département Arts du spectacle, 8-REC-285 (1,12)
https://gallica.bnf.fr/ark:/12148/bpt6k74197v/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k74197v							3					http://catalogue.bnf.fr/ark:/12148/cb31419265q	1848	Desnoyer, Charles (1806-1858). Auteur du texte ¤ Nus, Eugène (1816-1894). Auteur du texte		Le trésor du pauvre : drame en 3 actes, mêlé de chants / par MM. Charles Desnoyer et Eugène Nus	Sue, Eugène (1804-1857). Auteur présumé du texte	impr. de G. Olivier (Poissy)	[Représentation. Paris, Vaudeville. 1847-12-06] ¤ Opéras-comiques		Gallica		domaine public ¤ public domain	68		0	Bibliothèque nationale de France, département Littérature et art, 8-Yth-17498
https://gallica.bnf.fr/ark:/12148/bpt6k97804196/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k97804196							1					http://catalogue.bnf.fr/ark:/12148/cb31420998n	1855	Delacour, Alfred (1817-1883). Auteur du texte ¤ Supersac, Auguste (1822-1861). Auteur du texte		Pst !... Pst !... : comédie-vaudeville en un acte / par MM. Delacour et Supersac,...		impr. de A. Daix (Clermont (Oise))	Avec mode texte ¤ Opéras-comiques		Gallica		domaine public ¤ public domain	44		98,5	Bibliothèque nationale de France, département Littérature et art, 8-YTH-14936
https://gallica.bnf.fr/ark:/12148/bpt6k5836533q/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k5836533q							1					http://catalogue.bnf.fr/ark:/12148/cb314209990	1868	Supersac, Léon (1838-19..?). Auteur du texte		Les Amoureux de Marton, comédie en 1 acte, en vers, par M. Léon Supersac... [Paris, Odéon, 8 janvier 1868.]		Librairie dramatique (Paris)	Avec mode texte		Gallica		domaine public ¤ public domain	46		96,17	Bibliothèque nationale de France, département Littérature et art, 8-YTH-796
https://gallica.bnf.fr/ark:/12148/bpt6k96335816/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k96335816							1					http://catalogue.bnf.fr/ark:/12148/cb314210016	1862	Supersac, Léon (1838-19..?). Auteur du texte		La comtesse de la rue Cadet : comédie-vaudeville en un acte / par M. Léon Supersac		Michel-Lévy frères (Paris)	Avec mode texte ¤ Opéras-comiques		Gallica		domaine public ¤ public domain	48		98,5	Bibliothèque nationale de France, département Littérature et art, 8-YTH-3847
https://gallica.bnf.fr/ark:/12148/bpt6k97523276/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k97523276							1					http://catalogue.bnf.fr/ark:/12148/cb31421002j	1873	Supersac, Léon (1838-19..?). Auteur du texte		Ma cousine : comédie en un acte / par Léon Supersac		Michel-Lévy frères (Paris) ¤ Librairie nouvelle (Paris)	Avec mode texte ¤ Opéras-comiques		Gallica		domaine public ¤ public domain	56		98,5	Bibliothèque nationale de France, département Littérature et art, 8-YTH-10425
https://gallica.bnf.fr/ark:/12148/bpt6k6121416j/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k6121416j							1					http://catalogue.bnf.fr/ark:/12148/cb314227559	1871	Suzanne, Prosper. Auteur du texte		Autour de Metz, souvenirs et scènes du blocus, comédie militaire en 1 acte, par Prosper Suzanne, jouée pour la première fois à Tours, le 7 novembre 1871, par la Société des jeunes amateurs		(Tours)	Avec mode texte ¤ Opéras-comiques		Gallica		domaine public ¤ public domain	37	Centre1	97,46	Bibliothèque nationale de France, département Littérature et art, 8-YTH-1465
https://gallica.bnf.fr/ark:/12148/bpt6k5685362b/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k5685362b							3					http://catalogue.bnf.fr/ark:/12148/cb31424478m	1773			Le Connoisseur , comédie en trois actes et en vers, par M. le Baron de St***	Sy, Alexandre César Annibal Firmin baron de Stone marquis de. Auteur présumé du texte ¤ Le Fébure, Guillaume-René (1744-1809). Auteur présumé du texte	d'Houry (Genève et Paris)	Avec mode texte ¤ Livrets		Gallica		domaine public ¤ public domain	78		82,61	Bibliothèque nationale de France, département Littérature et art, YF-7099
https://gallica.bnf.fr/ark:/12148/bpt6k57455358/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k57455358							1					http://catalogue.bnf.fr/ark:/12148/cb31425196z	1788	Sylvestre. Auteur du texte		Les deux fermiers , comédie en un acte et en prose...		Cailleau (Paris)	Avec mode texte		Gallica		domaine public ¤ public domain	44		80,23	Bibliothèque nationale de France, département Littérature et art, 8-YTH-4850
https://gallica.bnf.fr/ark:/12148/bpt6k934015w/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k934015w												http://catalogue.bnf.fr/ark:/12148/cb31427930q	1757-1758	Nau, François (1715?-18..?). Auteur du texte ¤ Guichard, Jean-François (1731-1811). Auteur du texte ¤ Mentelle, Edme (1730-1815). Auteur du texte ¤ Dufour, Pierre (1729-1797). Auteur du texte ¤ Des Essarts, Chevalier (17..-17..). Auteur du texte		Nouveau choix de pieces, ou Théatre comique de province , contenant plusieurs opera comiques, representés sur differens théatres, de province. Sur des airs connus	Taconet, Toussaint-Gaspard (1730-1774). Éditeur scientifique. Auteur du texte	A Amsterdam, et se trouve a Paris, chez Cuissart, libraire, quai de Gêvres, à l'Ange gardien. M. DCC. LVIII	Comprend : Yphis, ou La fille crue garçon , Les apprêts de noces , L'amour libérateur , Les deux rivaux ¤ Avec mode texte ¤ Opéras-comiques		Gallica		domaine public ¤ public domain	294		74,83	Bibliothèque nationale de France, département Littérature et art, YF-5952
