	URL		B&W	COLUMNS	GENRE	SOUS-GENRE	TRAD	ACTES	RECUEIL	GENDER	FONT	DOUBLE	ARK CATALOGUE	DATES	AUTEURS	WD	TITRE	CONTRIBUTEURS	EDITEURS	DESCRIPTIONS	SUJETS	PROVENANCE		DROITS	NOMBRE DE VUES	CODE(S) PROJET(S)	NQA Moyen (%)	SOURCE
https://gallica.bnf.fr/ark:/12148/bpt6k3043779d/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k3043779d							1					http://catalogue.bnf.fr/ark:/12148/cb30220839c	1837	Desvergers (1810-1867). Auteur du texte		Le secret de mon oncle : vaudeville en un acte / par M. Varin		impr. de Vve Dondey-Dupré (Paris)	Avec mode texte ¤ Opéras-comiques		Gallica		domaine public ¤ public domain	20		86,26	Bibliothèque nationale de France, département Littérature et art, YF-449 (2)
https://gallica.bnf.fr/ark:/12148/bpt6k62084061/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k62084061							1					http://catalogue.bnf.fr/ark:/12148/cb30221071w	1844	Laurencin (1806-1890). Auteur du texte		Adrien, ou Ma bonne étoile : comédie-vaudeville en un acte / par M. Laurencin		Beck (Paris)	Avec mode texte ¤ Opéras-comiques		Gallica		domaine public ¤ public domain	26		99,44	Bibliothèque nationale de France, département Littérature et art, 4-YTH-44
https://gallica.bnf.fr/ark:/12148/bpt6k5808504s/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k5808504s							1					http://catalogue.bnf.fr/ark:/12148/cb302210727	1832	Laurencin (1806-1890). Auteur du texte ¤ Tastet, Tyrtée (1809-1865). Auteur du texte		L'Amant en gage, vaudeville en 1 acte, par MM. Laurencin (P.-A. Chapelle) et Tyrtée (Tastet). (Paris, Ambigu-Comique, 20 mai 1832.)		A. Leclaire (Paris)	Avec mode texte ¤ Pantomimes		Gallica		domaine public ¤ public domain	56		70,71	Bibliothèque nationale de France, département Littérature et art, 8-YTH-530
https://gallica.bnf.fr/ark:/12148/bpt6k5842795j/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k5842795j							2					http://catalogue.bnf.fr/ark:/12148/cb30221074x	1832	Laurencin (1806-1890). Auteur du texte		L'Anneau, ou Départ et retour, comédie-vaudeville en 2 actes, par MM. Lavarenne et Laurencin (P.-A. Chapelle). (Paris, Ambigu-Comique, 3 décembre 1832.)		((Paris,))	Avec mode texte ¤ Opéras-comiques		Gallica		domaine public ¤ public domain	44		93,8	Bibliothèque nationale de France, département Littérature et art, 8-YTH-969
https://gallica.bnf.fr/ark:/12148/bpt6k6523993n/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k6523993n							2					http://catalogue.bnf.fr/ark:/12148/cb30221082j	1849	Laurencin (1806-1890). Auteur du texte ¤ Michel, Marc (1812-1868). Auteur du texte		Les cascades de Saint-Cloud : comédie-vaudeville en deux actes / de MM. Laurencin et Marc-Michel		Beck (Paris)	Avec mode texte ¤ Opéras-comiques		Gallica		domaine public ¤ public domain	28		99,02	Bibliothèque nationale de France, département Littérature et art, 4-YTH-638
https://gallica.bnf.fr/ark:/12148/bpt6k65218127/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k65218127							2					http://catalogue.bnf.fr/ark:/12148/cb30221085k	1851	Laurencin (1806-1890). Auteur du texte		Le chevalier de Pézénas : comédie-vaudeville en deux actes / par M. Laurencin		Librairie théâtrale (Paris)	Collection : Magasin théâtral ¤ Avec mode texte ¤ Opéras-comiques		Gallica		domaine public ¤ public domain	28		98,5	Bibliothèque nationale de France, département Littérature et art, 4-YTH-785
https://gallica.bnf.fr/ark:/12148/bpt6k65438963/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k65438963							2					http://catalogue.bnf.fr/ark:/12148/cb302210878	1843	Laurencin (1806-1890). Auteur du texte		Daniel le tambour : comédie-vaudeville en deux actes / par M. Auvray		C. Tresse (Paris)	Collection : La France dramatique au XIXe siècle ¤ Collection : La France dramatique au XIXe siècle ¤ Avec mode texte ¤ Opéras-comiques		Gallica		domaine public ¤ public domain	34		99,01	Bibliothèque nationale de France, département Littérature et art, 4-YTH-1027
https://gallica.bnf.fr/ark:/12148/bd6t541992838/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bd6t541992838							1					http://catalogue.bnf.fr/ark:/12148/cb30221088m	1838	Laurencin (1806-1890). Auteur du texte		La Demoiselle majeure, comédie-vaudeville en 1 acte, par MM. Varin et Laurencin (P.-A. Chapelle). (Paris, Vaudeville, 5 avril 1838.)		Marchant ((Paris)	Opéras-comiques		Gallica		domaine public ¤ public domain	20		0	Bibliothèque nationale de France, département Littérature et art, YF-453 (16)
https://gallica.bnf.fr/ark:/12148/bpt6k3043761q/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k3043761q							1					http://catalogue.bnf.fr/ark:/12148/cb302210936	1837	Laurencin (1806-1890). Auteur du texte		La femme de l'épicier : comédie-vaudeville en un acte / par MM. Varin et Laurencin		au Magasin théâtral (Paris)	Collection : Le Magasin théâtral , t. XV ¤ Avec mode texte ¤ Opéras-comiques		Gallica		domaine public ¤ public domain	16		86,39	Bibliothèque nationale de France, département Littérature et art, YF-448 (3)
https://gallica.bnf.fr/ark:/12148/bd6t542001953/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bd6t542001953							1					http://catalogue.bnf.fr/ark:/12148/cb302210967	1834	Laurencin (1806-1890). Auteur du texte ¤ Desvergers (1810-1867). Auteur du texte ¤ Varin. Auteur du texte		Georgette, comédie-vaudeville en 1 acte, par MM. Varin, Desvergers (Chapeau) et Laurencin (P.-A. Chapelle). (Paris, Vaudeville, 18 novembre 1834.). Numéro 95,Tome 4		Marchant (Paris)	Opéras-comiques		Gallica		domaine public ¤ public domain	16		0	Bibliothèque nationale de France, département Littérature et art, YF-437 (20)
https://gallica.bnf.fr/ark:/12148/bpt6k5600272m/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k5600272m							1					http://catalogue.bnf.fr/ark:/12148/cb30221108d	1835	Laurencin (1806-1890). Auteur du texte		Ma femme et mon parapluie : vaudeville en 1 acte / par M. Laurencin		Marchant (Paris)	Collection : Le Magasin théâtral , 9 ¤ Avec mode texte ¤ Opéras-comiques		Gallica		domaine public ¤ public domain	30		92,12	Bibliothèque nationale de France, département Littérature et art, YF-442 (1)
https://gallica.bnf.fr/ark:/12148/bd6t5374775v/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bd6t5374775v							5					http://catalogue.bnf.fr/ark:/12148/cb302211161	1838	Laurencin (1806-1890). Auteur du texte		Matéo, ou les Deux Florentins, comédie-drame en 5 actes, par M. Laurencin (P.-A. Chapelle). (Paris, Porte-Saint-Martin, 1er mai 1838.)		Marchant ((Paris)	Avec mode texte		Gallica		domaine public ¤ public domain	40		85,81	Bibliothèque nationale de France, département Littérature et art, YF-454 (4)
https://gallica.bnf.fr/ark:/12148/bd6t54198715v/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bd6t54198715v							3					http://catalogue.bnf.fr/ark:/12148/cb30221117c	1835	Laurencin (1806-1890). Auteur du texte ¤ Bayard, Jean-François-Alfred (1796-1853). Auteur du texte		Mathilde, ou la Jalousie, comédie en 3 actes, mêlée de chants, par MM. Bayard et Laurencin (P.-A. Chapelle). (Paris, Vaudeville, 3 juin 1835.). Année 2,Tome 2		Marchant (Paris)	Opéras-comiques		Gallica		domaine public ¤ public domain	32		0	Bibliothèque nationale de France, département Littérature et art, YF-441 (16)
https://gallica.bnf.fr/ark:/12148/bpt6k30438523/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k30438523							1					http://catalogue.bnf.fr/ark:/12148/cb30221151j	1836	Laurencin (1806-1890). Auteur du texte		Une maîtresse femme : comédie en un acte, mêlée de chants / par M. Laurencin		Nobis (Paris)	Avec mode texte ¤ Opéras-comiques		Gallica		domaine public ¤ public domain	34		87,78	Bibliothèque nationale de France, département Littérature et art, YF-10437 (2)
https://gallica.bnf.fr/ark:/12148/bd6t54200175b/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bd6t54200175b							1					http://catalogue.bnf.fr/ark:/12148/cb30221155x	1834	Laurencin (1806-1890). Auteur du texte ¤ Bayard, Jean-François-Alfred (1796-1853). Auteur du texte		Vingt ans plus tard, comédie-vaudeville en 1 acte, par MM. Bayard et Laurencin (P.-A. Chapelle). (Paris, Vaudeville, 26 juin 1834.). Numéro 52,Tome 3		Marchant (Paris)	Opéras-comiques		Gallica		domaine public ¤ public domain	16		0	Bibliothèque nationale de France, département Littérature et art, YF-436 (2)
https://gallica.bnf.fr/ark:/12148/bpt6k55456569/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k55456569												http://catalogue.bnf.fr/ark:/12148/cb30221161v	1853	Chapellier, Adolphe. Auteur du texte		Paris qui dort et Paris qui s'éveille : scène comique / paroles de M. Adolphe Chapellier		impr. de Beaulé (Paris)	Avec mode texte		Gallica		domaine public ¤ public domain	4		92,03	Bibliothèque nationale de France, département Littérature et art, YF-12478
https://gallica.bnf.fr/ark:/12148/bd6t5750660j/f20.thumbnail	https://gallica.bnf.fr/ark:/12148/bd6t5750660j												http://catalogue.bnf.fr/ark:/12148/cb302215342	1638	Chapoton, François. Auteur du texte		Le véritable Coriolan : tragédie représentée par la Troupe royale / par le Sr de Chapoton		T. Quinet (Paris)	Opéras-comiques		Gallica		domaine public ¤ public domain	149		0	Bibliothèque nationale de France, département Réserve des livres rares, RES-YF-209
