	URL		B&W	COLUMNS	GENRE	SOUS-GENRE	TRAD	ACTES	RECUEIL	GENDER	FONT	DOUBLE	ARK CATALOGUE	DATES	AUTEURS	WD	TITRE	CONTRIBUTEURS	EDITEURS	DESCRIPTIONS	SUJETS	PROVENANCE		DROITS	NOMBRE DE VUES	CODE(S) PROJET(S)	NQA Moyen (%)	SOURCE
https://gallica.bnf.fr/ark:/12148/bpt6k47102f/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k47102f							3					http://catalogue.bnf.fr/ark:/12148/cb372618262	1788			Le grand bailliage : comédie historique, en trois actes et en prose : représentée à Rouen, depuis le 8 mai 1788 jusqu'au 9 octobre de la même année, par une troupe de baladins, qui a été sifflée par tous les bons citoyens ([Reprod.])		[s.n.] (Harcourt) ¤ chez Liberté (Rouen)	Collection : Les archives de la Révolution française , 5.163	Haute-Normandie (France) -- 1789-1799 (Révolution) -- Sources	Gallica		conditions spécifiques d'utilisation - Collection Les archives de la Révolution française ¤ restricted use	125	HNormand1 ¤ Rtmgus1	0	Bibliothèque nationale de France
https://gallica.bnf.fr/ark:/12148/bpt6k295525/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k295525												http://catalogue.bnf.fr/ark:/12148/cb37262386s	1891	Feuillet, Octave (1821-1890). Auteur du texte		Scènes et comédies / par Octave Feuillet,...		Calmann Lévy (Paris)			Gallica		domaine public ¤ public domain	394		0	Bibliothèque nationale de France
https://gallica.bnf.fr/ark:/12148/bpt6k47963v/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k47963v												http://catalogue.bnf.fr/ark:/12148/cb372624204	1789			Comme on voudra m'appeller ([Reprod.])		[s.n.][s.n.]	Collection : Les archives de la Révolution française , 5.1038		Gallica		conditions spécifiques d'utilisation - Collection Les archives de la Révolution française ¤ restricted use	98		89,96	Bibliothèque nationale de France, Lb39-1653
https://gallica.bnf.fr/ark:/12148/bpt6k57721k/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k57721k												http://catalogue.bnf.fr/ark:/12148/cb37268693b	1691	Racine, Jean (1639-1699). Auteur du texte		Athalie : tragédie : tirée de l'écriture sainte ([Reprod.]) / [Racine]		Chez Denys ThierryChez Denys Thierry (A Paris)	[Athalie (français)] ¤ Collection : French books 1601-1700 , 97.1		Gallica		conditions spécifiques d'utilisation - Collection French books ¤ restricted use	108		0	Bibliothèque nationale de France
https://gallica.bnf.fr/ark:/12148/bpt6k78783s/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k78783s												http://catalogue.bnf.fr/ark:/12148/cb372699477	1800	Jullian, Louis. Auteur du texte		Du retour en France des émigrés, considérés comme fugitifs ou rebelles ([Reprod.]) / par Louis Jullian,...		BrasseurBrasseur (Paris)	Collection : Les archives de la Révolution française , 7.587		Gallica		conditions spécifiques d'utilisation - Collection Les archives de la Révolution française ¤ restricted use	47		0	Bibliothèque nationale de France
https://gallica.bnf.fr/ark:/12148/bpt6k78654x/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k78654x												http://catalogue.bnf.fr/ark:/12148/cb372704398	1790	Auteur de "l'Assemblée nationale traitée comme elle le mérite", L'. Auteur du texte		Le véritable ami des Parisiens et de la vérité ([Reprod.]) / par l'auteur de l'Assemblée nationale traitée comme elle le mérite		de l'Impr. d'un royalistede l'Impr. d'un royaliste (Paris)	Collection : Les archives de la Révolution française , 7.236		Gallica		conditions spécifiques d'utilisation - Collection Les archives de la Révolution française ¤ restricted use	51		96,85	Bibliothèque nationale de France, Lb39-4316
https://gallica.bnf.fr/ark:/12148/bpt6k29604k/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k29604k							1					http://catalogue.bnf.fr/ark:/12148/cb37274759p	1861	Decourcelle, Adrien (1821-1892). Auteur du texte ¤ Lambert-Thiboust (1826-1867). Auteur du texte		Je dîne chez ma mère : comédie en un acte mêlée de couplets / par MM. A. Decourcelle et L. Thiboust		M. Lévy (Paris)			Gallica		domaine public ¤ public domain	34		89,43	Bibliothèque nationale de France
https://gallica.bnf.fr/ark:/12148/bpt6k29578v/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k29578v							1					http://catalogue.bnf.fr/ark:/12148/cb372747648	18..	Girardin, Delphine de. Auteur du texte		La joie fait peur : comédie en un acte, en prose / par Mme Emile de Girardin		Calmann-Lévy (Paris)			Gallica		domaine public ¤ public domain	58		85,61	Bibliothèque nationale de France
https://gallica.bnf.fr/ark:/12148/bpt6k29715h/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k29715h							4					http://catalogue.bnf.fr/ark:/12148/cb37274780h	1888	Pailleron, Édouard (1834-1899). Auteur du texte		Les faux ménages : comédie en quatre actes en vers (8e édition) / par Edouard Pailleron		Calmann Lévy (Paris)			Gallica		domaine public ¤ public domain	144		0	Bibliothèque nationale de France
https://gallica.bnf.fr/ark:/12148/bpt6k29533w/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k29533w							4					http://catalogue.bnf.fr/ark:/12148/cb37274787x	1908	Caillavet, Gaston-Arman de (1869-1915). Auteur du texte ¤ Flers, Robert de (1872-1927). Auteur du texte ¤ Arène, Emmanuel (1856-1908). Auteur du texte		Le roi : comédie en quatre actes / G. A. de Caillavet, Robert de Flers et Emmanuel Arène		Librairie théâtrale (Paris)			Gallica		domaine public ¤ public domain	258		90,03	Bibliothèque nationale de France
https://gallica.bnf.fr/ark:/12148/bpt6k77350g/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k77350g												http://catalogue.bnf.fr/ark:/12148/cb37275947g	1803	Broussais, François-Joseph-Victor. Auteur du texte		Recherches sur la fièvre hectique , considérée comme dépendante d'une lésion d'action des différents systèmes, sans vice organique. Par F. J. V. Broussais,...		Méquignon l'aîné (Paris)			Gallica		domaine public ¤ public domain	136	BibHEy	74,03	Bibliothèque H. Ey. C.H. de Sainte-Anne, 321-1
https://gallica.bnf.fr/ark:/12148/bpt6k296397/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k296397							3					http://catalogue.bnf.fr/ark:/12148/cb37278168z	18..	Dorat, Claude-Joseph (1734-1780). Auteur du texte		La feinte par amour : comédie en trois actes et en vers / [par Dorat]		[s.n.]	Contient une table des matières		Gallica		domaine public ¤ public domain	324		81,18	Bibliothèque nationale de France
https://gallica.bnf.fr/ark:/12148/bpt6k674229/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k674229												http://catalogue.bnf.fr/ark:/12148/cb37285412n	1878	Clément-Simon, Gustave (1833-1909). Auteur du texte ¤ Berluc-Pérussis, Léon de. Auteur du texte		Installation de monsieur le procureur-général Clément-Simon comme membre d'honneur de l'Académie : séance du 7 mai 1878 : discours de M. Clément-Simon et de M. de Berluc-Perussis,...		impr. M. Illy (Aix-en-Provence)			Gallica		domaine public ¤ public domain	28	PACA1	0	Bibliothèque nationale de France, département Littérature et art, 8-Z-9665 (5)
https://gallica.bnf.fr/ark:/12148/bpt6k68438x/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k68438x						Yes						http://catalogue.bnf.fr/ark:/12148/cb372865187	1878	Schiller, Friedrich von. Auteur du texte		Guillaume Tell : tragédie / par Schiller , édition classique, précédée d'une notice littéraire, par H. Grimm	Hallberg, Louis-Eugène. Préfacier	J. Delalain et fils (Paris)	[Wilhelm Tell (français)]		Gallica		domaine public ¤ public domain	208		29,21	Bibliothèque nationale de France, Yh-3450
https://gallica.bnf.fr/ark:/12148/bpt6k67759g/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k67759g						Yes						http://catalogue.bnf.fr/ark:/12148/cb37287083j	1898	Schiller, Friedrich von. Auteur du texte		Marie Stuart : tragédie / de Friedrich von Schiller , trad. française avec le texte allemand par Th. Fix	Fix, Théobald. Traducteur	Hachette (Paris)	[Maria Stuart (allemand-français)] ¤ Contient une table des matières		Gallica		domaine public ¤ public domain	306		47,93	Bibliothèque nationale de France, 8-Yh-634
