	URL		B&W	COLUMNS	GENRE	SOUS-GENRE	TRAD	ACTES	RECUEIL	GENDER	FONT	DOUBLE	ARK CATALOGUE	DATES	AUTEURS	WD	TITRE	CONTRIBUTEURS	EDITEURS	DESCRIPTIONS	SUJETS	PROVENANCE		DROITS	NOMBRE DE VUES	CODE(S) PROJET(S)	NQA Moyen (%)	SOURCE
https://gallica.bnf.fr/ark:/12148/bpt6k6470165s/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k6470165s												http://catalogue.bnf.fr/ark:/12148/cb31162632p	1851	Quertinier, Julien. Auteur du texte		La Fête des Incas en 1851, ou les Agréments de Valenciennes, chansonnette comique en patois du pays, par J. Quertinier		impr. de A. Prignet (Valenciennes)	Avec mode texte		Gallica		domaine public ¤ public domain	2	NordPdeC1	98,55	Bibliothèque nationale de France, département Littérature et art, YE-7182 (694)
https://gallica.bnf.fr/ark:/12148/bd6t5775539g/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bd6t5775539g							3					http://catalogue.bnf.fr/ark:/12148/cb311628625	1851	Quesné, Jacques Salbigoton (1778-1859). Auteur du texte		Jean-Jacques Rousseau à Montmorency, comédie historique en 3 actes, en prose, par J. S. Quesné... [Théâtre de Saint-Germain-en-Laye, 16 mars 1851.] 2e édition		H. Picault (Saint-Germain-en-Laye)	Avec mode texte		Gallica		domaine public ¤ public domain	42		87,96	Bibliothèque nationale de France, département Arts du spectacle, 8-RF-13318
https://gallica.bnf.fr/ark:/12148/bpt6k1513281q/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k1513281q												http://catalogue.bnf.fr/ark:/12148/cb311632695	1707	Quesnot de La Chenée, Jean Jacques. Auteur du texte		La Bataille de Hoogstet, tragédie en musique ornée d'entrées de ballet, de machines et de changemens de théâtre, par le Sr Quesnot de La Chenée		((S. l.,))	Opéras		Gallica		domaine public ¤ public domain	56		0	Bibliothèque nationale de France, département Réserve des livres rares, RES-YF-1862
https://gallica.bnf.fr/ark:/12148/bpt6k1513283j/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k1513283j												http://catalogue.bnf.fr/ark:/12148/cb31163270c	1707	Quesnot de La Chenée, Jean Jacques. Auteur du texte		La Bataille de Ramelie, pastorale en musique mêlée de plusieurs entrées comiques, par le Sr Quesnot de La Chenée		((S. l.,))	Pastorales (musique vocale)		Gallica		domaine public ¤ public domain	38		0	Bibliothèque nationale de France, département Réserve des livres rares, RES-YF-1863
https://gallica.bnf.fr/ark:/12148/bpt6k9818450s/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k9818450s												http://catalogue.bnf.fr/ark:/12148/cb31163288f	1837	Quest, C.-M.. Auteur du texte		Première lettre sur l'eurythmie ou la décuple production comme moyen de satisfaire et de concilier tout le monde : à messieurs les conseillers généraux de département / par Quest,...		A. Guyot (Paris)	Avec mode texte		Gallica		domaine public ¤ public domain	16		98,51	Bibliothèque nationale de France, département Sciences et techniques, S-33275 (1)
https://gallica.bnf.fr/ark:/12148/bpt6k98184494/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k98184494												http://catalogue.bnf.fr/ark:/12148/cb31163289s	1837	Quest, C.-M.. Auteur du texte		Deuxième lettre sur l'eurythmie ou la décuple production comme moyen de satisfaire et de concilier tout le monde : à monsieur Émile de Girardin,... / par Quest,....		A. Guyot (Paris)	Avec mode texte		Gallica		domaine public ¤ public domain	16		98,54	Bibliothèque nationale de France, département Sciences et techniques, S-33275 (2)
https://gallica.bnf.fr/ark:/12148/bpt6k98184479/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k98184479												http://catalogue.bnf.fr/ark:/12148/cb31163291b	1837	Quest, C.-M.. Auteur du texte		Quatrième lettre sur l'eurythmie ou la décuple production comme moyen de satisfaire et de concilier tout le monde : à tous les partis / par Quest,...		A. Guyot (Paris)	Avec mode texte		Gallica		domaine public ¤ public domain	20		99,1	Bibliothèque nationale de France, département Sciences et techniques, S-33275 (4)
https://gallica.bnf.fr/ark:/12148/bpt6k5807652w/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k5807652w							3					http://catalogue.bnf.fr/ark:/12148/cb31163414f	1783	Laval. Auteur du texte		L'Amant sylphe, ou la Féerie de l'amour , comédie en trois actes, en prose, mêlée d'ariettes, représentée devant leurs Majestés à Fontainebleau, en 1783	Liniers, Jacques-Louis-Henri (1749-1809 , comte de). Auteur présumé du texte ¤ Quétant, François-Antoine (1733-1823). Auteur présumé du texte ¤ Martini, Johann Paul Aegidius (1741-1816). Compositeur	[Paris.] De l'imprimerie de P.R.C. Ballard. M.DCC.LXXXIII	Avec mode texte ¤ Opéras-comiques		Gallica		domaine public ¤ public domain	66		79,93	Bibliothèque nationale de France, département Littérature et art, 8-YTH-553
https://gallica.bnf.fr/ark:/12148/bpt6k1910666f/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k1910666f							1					http://catalogue.bnf.fr/ark:/12148/cb31163420c	1768	Quétant, François-Antoine (1733-1823). Auteur du texte		Les Femmes et le secret, comédie en 1 acte meslée d'ariettes, représentée pour la première fois, par les comédiens italiens ordinaires du Roi, le 9 novembre 1767. Par M. Quétant.		A Paris, chez Cailleau, libraire juré de l'Université, rue du Foin S. Jacques	Avec mode texte ¤ Opéras-comiques		Gallica		domaine public ¤ public domain	67		82,27	Bibliothèque nationale de France, département Réserve des livres rares, RES-YF-3807 (8)
https://gallica.bnf.fr/ark:/12148/bpt6k19106740/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k19106740							1					http://catalogue.bnf.fr/ark:/12148/cb31163423d	1761	Quétant, François-Antoine (1733-1823). Auteur du texte		Le Maréchal ferrant, opéra comique en 1 acte... par M. Quétant , la musique de M. Philidor. [Paris, Opéra-comique de la foire Saint-Laurent, 22 août 1761.]	Philidor, François-André (1726-1795). Compositeur	C. Hérissant (Paris)	Avec mode texte ¤ Opéras-comiques		Gallica		domaine public ¤ public domain	62		0	Bibliothèque nationale de France, département Réserve des livres rares, RES-YF-3807 (5)
https://gallica.bnf.fr/ark:/12148/bpt6k15027613/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k15027613							2					http://catalogue.bnf.fr/ark:/12148/cb31163426f	1762	Quétant, François-Antoine (1733-1823). Auteur du texte		Le Maréchal ferrant : , opéra comique en 2 actes... [Fontainebleau, les Comédiens italiens, 3 novembre 1762.] / [par Quétant]	Philidor, François-André (1726-1795). Compositeur	impr. de C. Ballard (Paris)	Avec mode texte ¤ Opéras-comiques		Gallica		domaine public ¤ public domain	76		80,98	Bibliothèque nationale de France, département Littérature et art, 8-YTH-10925
https://gallica.bnf.fr/ark:/12148/bpt6k326483v/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k326483v							1					http://catalogue.bnf.fr/ark:/12148/cb311634342	1757	Quétant, François-Antoine (1733-1823). Auteur du texte ¤ Achard. Auteur du texte		Le quartier général , pièce nouvelle en 1 acte, à l'occasion de la bataille gagnée sur les Anglais par l'armée du Roi, par Mrs. Quétant et Achard..		A Paris, chez Duchesne, libraire, rue Saint Jacques, au-dessous de la Fontaine Saint Benoît, au Temple du Goût	Avec mode texte ¤ Opéras-comiques		Gallica		domaine public ¤ public domain	28		80,54	Bibliothèque nationale de France, département Musique, VM COIRAULT-610 (4)
https://gallica.bnf.fr/ark:/12148/bpt6k1910667v/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k1910667v							1					http://catalogue.bnf.fr/ark:/12148/cb311634342	1757	Quétant, François-Antoine (1733-1823). Auteur du texte ¤ Achard. Auteur du texte		Le quartier général , pièce nouvelle en 1 acte, à l'occasion de la bataille gagnée sur les Anglais par l'armée du Roi, par Mrs. Quétant et Achard..		A Paris, chez Duchesne, libraire, rue Saint Jacques, au-dessous de la Fontaine Saint Benoît, au Temple du Goût	Avec mode texte ¤ Opéras-comiques		Gallica		domaine public ¤ public domain	30		81,4	Bibliothèque nationale de France, département Réserve des livres rares, RES-YF-3807 (4)
https://gallica.bnf.fr/ark:/12148/bpt6k19106688/f10.thumbnail	https://gallica.bnf.fr/ark:/12148/bpt6k19106688												http://catalogue.bnf.fr/ark:/12148/cb31163435d	1765	Quétant, François-Antoine (1733-1823). Auteur du texte		Le Serrurier, opéra-bouffon... les paroles sont de M. Quétant. [Paris, les Comédiens italiens, 20 décembre 1764.]	Kohault, J.. Compositeur	Duchesne (Paris)	Avec mode texte ¤ Opéras-comiques		Gallica		domaine public ¤ public domain	48		83,39	Bibliothèque nationale de France, département Réserve des livres rares, RES-YF-3807 (6)
